update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
40,train,116.29584033672626,0.3715002090292205,302.61538461538464,605.2307692307693,13,0.19358982145786285,0.3871796429157257,3,2,0.15,0.33,5,5,6,5.5
40,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
41,train,152.66133,0.4159484,356.77272727272725,713.5454545454545,11,0.2157803773880005,0.431560754776001,3,2,0.15,0.33,5,5,6,5.5
42,train,109.03973271296574,0.339603576130537,295.0,590.0,13,0.19316327571868896,0.38632655143737793,3,2,0.15,0.33,5,5,6,5.5
43,train,110.44446,0.354361,305.0769230769231,610.1538461538462,13,0.1791720688343048,0.3583441376686096,3,2,0.15,0.33,5,5,6,5.5
44,train,115.83162,0.36284125,308.8076923076923,617.6153846153846,13,0.1857677400112152,0.3715354800224304,3,2,0.15,0.33,5,5,6,5.5
45,train,211.4353764851888,0.42479077334757204,425.5,851.0,9,0.244951531291008,0.489903062582016,3,2,0.15,0.33,5,5,6,5.5
45,eval,1762.9058227539062,3.610582447052002,449.5,nan,1,nan,nan,3,2,0.15,0.33,5,5,6,5.5,eval
46,train,131.96806,0.4033758,321.8636363636364,643.7272727272727,11,0.21552333235740662,0.43104666471481323,3,2,0.15,0.33,5,5,6,5.5
47,train,188.2155,0.43626985,396.3,792.6,10,0.23483824729919434,0.46967649459838867,3,2,0.15,0.33,5,5,6,5.5
48,train,153.85416412353516,0.3932960085358397,355.3636363636364,710.7272727272727,11,0.21768751740455627,0.43537503480911255,3,2,0.15,0.33,5,5,6,5.5
49,train,110.73163898174579,0.3576769073830436,301.3076923076923,602.6153846153846,13,0.18093237280845642,0.36186474561691284,3,2,0.15,0.33,5,5,6,5.5
